AntwoordKey,Antwoordoptie,Antwoordomschrijving
-1,Onbekend,Onbekend
973,2,"Ja, eventueel wel"
974,3,"Ja, zou wel willen, maar kan niets vinden"
975,4,"Ja, beslist wel"
976,6,"Ja, heb al andere huisvesting/woning gevonden"
977,7,Weet (nog) niet
978,1,Ik ben tevreden met mijn woning
979,10,Ik ben te oud om te verhuizen
980,11,Ik krijg de financiering bij de hypotheekverstrekker niet rond
981,12,"Iets anders, namelijk:"
982,2,Ik ben tevreden met mijn woonomgeving
983,3,Ik verbouw liever
984,4,"Ik zou wel willen verhuizen, maar ik vind mijn woonlasten te hoog bij verhuizen naar een andere woning"
985,5,Verkoop van mijn huis is moeilijk
986,6,Door de strengere eisen voor sociale huurwoningen kom ik alleen in aanmerking voor een duurdere huurwoning
987,7,Vanwege restschuld op huidige woning bij verkoop
988,8,Ik wil nog liever thuis blijven wonen
989,9,"Ik wil dichtbij mijn werk, bedrijf of studie blijven wonen"
990,,
991,1,Ja
992,2,Nee
993,1,Eigen buurt
994,10,Ulvenhout
995,11,Prinsenbeek
996,12,Teteringen
997,13,"Buitengebied Breda (Effen-de Rith, Liesbos, landelijk gebied rondom Bavel, Ulvenhout of Prinsenbeek)"
998,14,Oosterhout
999,15,Etten-Leur
1000,16,Andere gemeente in de regio Breda
1001,17,Gemeente buiten de regio Breda
1002,2,"Centrum (City, Valkenberg, ChassT, Fellenoord, Schorsmolen, Station, Belcrum)"
1003,3,"Breda Noord (Geeren-Noord, Geeren-Zuid, Biesdonk, Wisselaar, Doornbos-Linie, Waterdonken)"
1004,4,"Breda Oost (Brabantpark, Heusdenhout, Zandberg, Sportpark)"
1005,5,"Breda Zuid-Oost (Blauwe Kei, Ypelaar, Overakker, Ginneken)"
1006,6,"Breda Zuid (Boeimeer, Ruitersbos)"
1007,7,"Breda West (Haagpoort, Heuvel, Tuinzigt, Princenhage, Westerpark)"
1008,8,"Haagse Beemden (Gageldonk, Kievitsloop, Kestern, Muizenberg, Heksenwiel, Overkroeten, Kroeten)"
1009,9,Bavel (incl. Nieuw Wolfslaar)
1010,1,Zelfstandig gaan wonen
1011,3,"Tussen € 592,- en € 635,-"
1012,11,Woonomgeving/woonbuurt
1013,12,Onvoldoende voorzieningen in de buurt
1014,13,Slechte dienstverlening verhuurder
1015,14,Wil dichterbij ouders/kinderen gaan wonen
1016,15,Vanwege zorg voor familielid (mantelzorg)
1017,16,Gunstige periode om woning te verkopen
1018,17,"Iets anders, namelijk:"
1019,2,Vanwege studie/werk
1020,5,"Tussen € 711,- en € 900,-"
1021,4,Gezinsuitbreiding
1022,5,Scheiding
1023,6,Vanwege onmin met de buren
1024,1,"Minder dan € 414,-"
1025,8,Vanwege de woning zelf
1026,9,Huidige woning niet geschikt voor ouderen
1027,,
1028,1,In het centrum/binnenstad
1029,2,In een dorp
1030,3,"In een drukke wijk met voorzieningen, net buiten het centrum"
1031,4,In een landelijke omgeving
1032,5,"In een rustige en groene woonwijk, net buiten het centrum"
1033,6,In een wijk aan de rand van de stad
1034,7,"Anders, namelijk:"
1035,8,Geen voorkeur
1036,4,Weet niet/geen mening
1037,1,Ja
1038,2,"Nee, niet in mijn eigen buurt maar wel in Breda"
1039,3,Nee
1040,,
1041,,
1042,,
1043,6,"Ja, andere hulp"
1044,8,Onbekend
1045,1,Vaak
1046,23,De Blaker
1047,2,"Nee, niet in mijn eigen buurt maar wel in Breda"
1048,0,Not Answered
1049,3,"Ja, van mijn huisarts"
1050,1,Ja
1051,3,Weet niet/geen mening
1052,1,Ja
1053,2,Nee
1054,,
1055,,
1056,3,Weet niet/geen mening
1057,3,Weet niet/geen mening
1058,2,Nee
1059,1,Ja
1060,2,Nee
1061,4,nee
1062,3,"Ja, van mijn huisarts"
1063,3,"ja, elders in de gemeente"
1064,33,Leeftijd
1065,1,nee
1066,1,Ja
1067,1,"ja, zeker"
1068,99999998,Onbekend
1069,1,Ja
1070,2,komt soms voor
1071,1,Vrijstaand
1072,10,Eenkamerwoning/studio
1073,11,"Anders, namelijk:"
1074,2,Twee onder TTn kap
1075,3,Woningen in een rij of geschakeld
1076,4,Hoekwoning
1077,5,Flatwoning/appartement zonder lift
1078,6,Flatwoning/appartement mTt lift
1079,7,Zelfstandige seniorenwoning
1080,8,Woon-zorgcomplex/verzorgingshuis/aanleunwoning
1081,9,Kamerbewoning/studentenhuisvesting
1082,,
1083,1,Koopwoning
1084,2,Huurwoning van een woningcorporatie
1085,3,Woning huren van een particuliere verhuurder
1086,4,Geen voorkeur/weet nog niet
1087,1,Bestaande woning
1088,2,Nieuwbouwwoning
